Author,Comment Text
@mrthanamphu,"We would vote this party for changing, destory old politics, LET'S GO 🧡🧡🧡🧡🍊🍊🍊🍊"
@GojoSatoru6811,Don't forget to give the land back to Cambodia
@ShadowVex-240,"As a Thai citizen, I've heard a lot of news in the provinces this year about vote buying and a lack of transparency in the election."
@wuttijinda6015,ขอวิจารณ์นะพรรคส้มไม่ใช่มาตอกย้ำความล้มเหลวแต่ความผิดพลาดครั้งนี้มันยากมากจะกลับมาได้ เพราะ พรรคน้ำเงินเขาก็ต้องทำแบบเดิมต่อไปและสร้างพลังฐานต่อไป แต่ถ้าส่ม เลือกเพื่อไทยตอนนั้น แล้วยุบสภาเลย แน่นอน ส้มมาเป็นที่1 แน่ๆ น้ำเงินยังไม่มีเวลาเติมกล้วยเลย  นี้มันคือ เกมตอนนี้คนคุมเกมคือ.....มันเสียดาย..สู้ต่อไปนะคงใช้เวลาอีกนานถึงจะกลับมาได้
@charochama,😢 it’s done
@hunspeaks,LOL nope.
@martinlai923,king is the obstacles 😂😂🎉
@nickshv8727,"DO NOT BE IDIOTS! If you want CULTURAL DEATH for you country - go for it... Please people have your own head on your shoulders, don't be blind... Otherwise you'll become US's puppy. If you go for it - Thailand will not be free, it's going to be a CULTURAL DEATH!!! You WILL BE BETRAYED if you believe these a***holes!! Remember this comment! Hail the Thai KING!"
@Jenny-ty5gx,願泰國以後不要再被軍方將領把權了.
@mogambo4565,I mean is this even a democracy where the winning party has been disbanded and losers have been running the country because they wanted archaic laws gone.
@hongofview1352,Only People Party 😊 Vote for change
@Troysyy,🧡🍊✅
@wanwisasriprasert8687,🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭🇹🇭
@thehearttytrip,We need to change 🍊🍊🧡🧡
@MumiYamashita,"They won before as 'Move Forward' but were dissolved by unfair laws. Now, despite more election cheating and obstacles, the people are more united than ever. We believe our voices are stronger than their dirty games. That’s why we’re fighting for this party to lead the country."
@Theherolegend,"This party creates hatred among people, hatred between the public and government agencies, hatred towards the military and the monarchy. This is not the norm for a politician."
@SORACHATAN,🧡🧡
@GhoulLcf-o7g,ว้าว 😮
@Theherolegend,"People who desire equality, but they will unknowingly become slaves to capitalists."
@GalaxyJ-mr3lp,Sure Thailand people party cannot finish for new government The shadow of Thailand approved blue party for kingdom Thailand the great as the action plan in the past
@NitiponPonJanice,Love and support People's Party thanks Thai People's Party for your leadership together we'll make our country great again more clean and Prosperous 🧡🧡🧡 🇹🇭🇮🇱🇺🇲🙏
@MaeveMg,With all my heart 🧡 I wish the People’s Party success in this election and in bringing Thailand forward into a new era. My heart stands with you all the way. Good luck🙏🏽
@NoYes-s7n,อนุทินไม่มีนโยบายอะไรมีแต่คำว่ารักชาติจนน้ำลายไหลโหนทหารไม่รู้มันจะโหนไปเพื่ออะไรน้ำท่วมภาคใต้ประชาชนลำบากรอรับการช่วยเหลือไม่พูดถึงสักคำ
@Roter-n1,I will vote pp today.
@speakout4999,Thailand still a complicate country
@speakout4999,They can !
@rebeccad8568,Rooting for you Peoples party love from England 🇬🇧
@sasiprapa.k,"We will not give up, even if those in power who are corrupting the nation try to obstruct us 🧡"
@O-ha-ocrafttoys,🧡🧡🧡✊🏻
@Enzo_Fernandez8,พรรคประชาชน เป็นพรรคเดียวที่ถูกองค์กรอิสระลงโทษ พวกเราประชาชน จะสู้จนกว่าจะได้รับชัยชนะ และเปลี่ยนแปลงประเทศไปในทางที่ดี จะไม่มีสแกมเมอร์ จะไม่มีทุนจีนเทา ที่คอยกัดกินทรัพยากรกัดกินผืนแผ่นดินไทยอีกต่อไป🍊🧡4️⃣6️⃣
@NgeNgoc,Is there a point of having an election when the country is still ruled only by the military and the royal?
@alexsudkhate,Never give up
@basedinme9828,People party is a socialist party they want to overthrow the monarchy.
