Author,Comment Text
@MrBeast,"Stop scrolling and watch the video! You want to see the $1,000,000 a night hotel at the end haha"
@mohsinmahi8111,mr beast pleace help🖐
@Sudhirbas-b7d,Mrbeast kya mera naam main aapko pata hai mera naam Ajit hai aur Maine ek bar aapko video mein comment kiya tha ki aap 2026 ka video banae rakhna ab tak abhi bhi 2026 ka video nahin banaa
@Subhamnayknayk,Nice ❤
@arturowurth4723,10.000 dolar maldives hotel was defenitly the best one
@Khanazaz22Khanazaz22,Anyone in 2026 ❤😂🎉??
@RumaAkter-b6g8j,MrBeast ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
@kevinflores2722,Super épico 😎
@Євгенійзапольський,Yegor
@Євгенійзапольський,Egorik
@V.THARSHAN,உங்க video நல்லாருக்கும் Beast😊😊
@V.THARSHAN,Hi bro நான் இந்தியா வில் இருக்கேன்
@Zepoidyt,wo
@NazmulIslam3535-w5z,Nice 🇧🇩 Dhaka Bangladesh 🇧🇩
@NazmulIslam3535-w5z,Dhaka Bangladesh 🇧🇩
@Philistine11,❤❤
@razvanhanu8821,Ssofia
@DenisseHuerta-v4l,"11:10 Poor Nolan, he won't have any more children."
@DenisseHuerta-v4l,11:110
@DenisseHuerta-v4l,1:16
@lagzz_0,42nd
@JayseGracia-w5y6y,​ @lagzz_0 63
@Crispybenoit,How do you never run out of ideas Jimmyyyyyy. It's incredible!
@1jertix,yaa
@luvlymari153,Yess
@footballrepublix1,Ur amazing
@hey.pratham,J
@aspect_productions,I know
@WarRobotDoge,Hi cowuh
@stanlij158,lol
@ActualSparkYT,HI
@Illuminex_XD,Hi Mr. Beast
@ابوالنور-ض4ض,😊minex_XD
@WarRobotDoge,Yes
@myrougeyoshi,Rue
@1TAG1,Mrbeast
@Ilikemyownvids,Hello
@NegetiveRizz,ok
@nootbaaronreal,Yea
@RetOffical,Hi i saw u at Nj
@joelmohan781,ok
@lonelygorilla9751,Siuuuuuuuuuuuuuu
@bobbymcentaggart8140,Hi
@starchild844,Indeed I do thanks for always putting out amazing videos I've been waiting for this
@LouisallNiches,Mehnn that’s crazy! Fireworks should double up!! Because 😅😅
@yoheiAnimations,❤
@JustJory,okay
@papuaze,Ok
@K4tes,Here before this blows up
@Bluvols,Hi
@sammy9257,Love you guys you guys are awsome
@RedCCWLN,Ok
@Oiiink,fr
@RedCCWLN,No
@randomperson869,mo
@shannonarmstrong6364,"Yes 🙌🏿 thanks sooo very very much 
Blessings blessings blessings all"
@Voliceeno,I have colitis and you have crones. We couldn’t be more alike!!!!
@pizza_11,sup
@angelvega4840,I’ll take a small loan of 500 k please
@J-ÂXX,Oki
@asper5340,Here before 499 comments
